TIME,ACC4,ACC3,ACC2,ACC1,ROOT
196,1181804,14742,60,-1,0
197,1196605,14801,59,-1,0
198,1211464,14859,58,-1,0
199,1226380,14916,57,-1,0
200,1241352,14972,56,-1,0
201,1256379,15027,55,-1,0
202,1271460,15081,54,-1,0
203,1286594,15134,53,-1,0
204,1301780,15186,52,-1,0
205,1317017,15237,51,-1,0
206,1332304,15287,50,-1,0
207,1347640,15336,49,-1,0
208,1363024,15384,48,-1,0
209,1378455,15431,47,-1,0
210,1393932,15477,46,-1,0
211,1409454,15522,45,-1,0
212,1425020,15566,44,-1,0
213,1440629,15609,43,-1,0
214,1456280,15651,42,-1,0
215,1471972,15692,41,-1,0
216,1487704,15732,40,-1,0
217,1503475,15771,39,-1,0
218,1519284,15809,38,-1,0
219,1535130,15846,37,-1,0
220,1551012,15882,36,-1,0
221,1566929,15917,35,-1,0
222,1582880,15951,34,-1,0
223,1598864,15984,33,-1,0
224,1614880,16016,32,-1,0
225,1630927,16047,31,-1,0
226,1647004,16077,30,-1,0
227,1663110,16106,29,-1,0
228,1679244,16134,28,-1,0
229,1695405,16161,27,-1,0
230,1711592,16187,26,-1,0
231,1727804,16212,25,-1,0
232,1744040,16236,24,-1,0
233,1760299,16259,23,-1,0
234,1776580,16281,22,-1,0
235,1792882,16302,21,-1,0
236,1809204,16322,20,-1,0
237,1825545,16341,19,-1,0
238,1841904,16359,18,-1,0
239,1858280,16376,17,-1,0
240,1874672,16392,16,-1,0
241,1891079,16407,15,-1,0
242,1907500,16421,14,-1,0
243,1923934,16434,13,-1,0
244,1940380,16446,12,-1,0
245,1956837,16457,11,-1,0
246,1973304,16467,10,-1,0
247,1989780,16476,9,-1,0
248,2006264,16484,8,-1,0
249,2022755,16491,7,-1,0
250,2039252,16497,6,-1,0
251,2055754,16502,5,-1,0
252,2072260,16506,4,-1,0
253,2088769,16509,3,-1,0
254,2105280,16511,2,-1,0
255,2121792,16512,1,-1,0
256,2138304,16512,0,-1,0
257,2154816,16512,0,0,1
258,2171328,16512,0,0,0
259,2187840,16512,0,0,0
260,2204352,16512,0,0,0
261,2220864,16512,0,0,0
262,2237376,16512,0,0,0
263,2253888,16512,0,0,0
264,2270400,16512,0,0,0
265,2286912,16512,0,0,0
266,2303424,16512,0,0,0
267,2319936,16512,0,0,0
268,2336448,16512,0,0,0
269,2352960,16512,0,0,0
270,2369472,16512,0,0,0
271,2385984,16512,0,0,0
272,2402496,16512,0,0,0
273,2419008,16512,0,0,0
274,2435520,16512,0,0,0
275,2452032,16512,0,0,0
276,2468544,16512,0,0,0
277,2485056,16512,0,0,0
278,2501568,16512,0,0,0
279,2518080,16512,0,0,0
280,2534592,16512,0,0,0
281,2551104,16512,0,0,0
282,2567616,16512,0,0,0
283,2584128,16512,0,0,0
284,2600640,16512,0,0,0
285,2617152,16512,0,0,0
286,2633664,16512,0,0,0
287,2650176,16512,0,0,0
288,2666688,16512,0,0,0
289,2683200,16512,0,0,0
290,2699712,16512,0,0,0
291,2716224,16512,0,0,0
292,2732736,16512,0,0,0
293,2749248,16512,0,0,0
294,2765760,16512,0,0,0
295,2782272,16512,0,0,0
296,2798784,16512,0,0,0
297,2815296,16512,0,0,0
298,2831808,16512,0,0,0
299,2848320,16512,0,0,0
300,2864832,16512,0,0,0
301,2881344,16512,0,0,0
302,2897856,16512,0,0,0
303,2914368,16512,0,0,0
304,2930880,16512,0,0,0
305,2947392,16512,0,0,0
306,2963904,16512,0,0,0
307,2980416,16512,0,0,0
308,2996928,16512,0,0,0
309,3013440,16512,0,0,0
310,3029952,16512,0,0,0
311,3046464,16512,0,0,0
312,3062976,16512,0,0,0
313,3079488,16512,0,0,0
314,3096000,16512,0,0,0
315,3112512,16512,0,0,0
316,3129024,16512,0,0,0
317,3145536,16512,0,0,0
318,3162048,16512,0,0,0
319,3178560,16512,0,0,0
320,3195072,16512,0,0,0
321,3211584,16512,0,0,0
322,3228096,16512,0,0,0
323,3244608,16512,0,0,0
324,3261120,16512,0,0,0
325,3277632,16512,0,0,0
326,3294144,16512,0,0,0
327,3310656,16512,0,0,0
328,3327168,16512,0,0,0
329,3343680,16512,0,0,0
330,3360192,16512,0,0,0
331,3376704,16512,0,0,0
332,3393216,16512,0,0,0
333,3409728,16512,0,0,0
334,3426240,16512,0,0,0
335,3442752,16512,0,0,0
336,3459264,16512,0,0,0
337,3475776,16512,0,0,0
338,3492288,16512,0,0,0
339,3508800,16512,0,0,0
340,3525312,16512,0,0,0
341,3541824,16512,0,0,0
342,3558336,16512,0,0,0
343,3574848,16512,0,0,0
344,3591360,16512,0,0,0
345,3607872,16512,0,0,0
346,3624384,16512,0,0,0
347,3640896,16512,0,0,0
348,3657408,16512,0,0,0
349,3673920,16512,0,0,0
350,3690432,16512,0,0,0
351,3706944,16512,0,0,0
352,3723456,16512,0,0,0
353,3739968,16512,0,0,0
354,3756480,16512,0,0,0
355,3772992,16512,0,0,0
356,3789504,16512,0,0,0
357,3806016,16512,0,0,0
358,3822528,16512,0,0,0
359,3839040,16512,0,0,0
360,3855552,16512,0,0,0
361,3872064,16512,0,0,0
362,3888576,16512,0,0,0
363,3905088,16512,0,0,0
364,3921600,16512,0,0,0
365,3938112,16512,0,0,0
366,3954624,16512,0,0,0
367,3971136,16512,0,0,0
368,3987648,16512,0,0,0
369,4004160,16512,0,0,0
370,4020672,16512,0,0,0
371,4037184,16512,0,0,0
372,4053696,16512,0,0,0
373,4070208,16512,0,0,0
374,4086720,16512,0,0,0
375,4103232,16512,0,0,0
376,4119744,16512,0,0,0
377,4136256,16512,0,0,0
378,4152768,16512,0,0,0
379,4169280,16512,0,0,0
380,4185792,16512,0,0,0
381,4202304,16512,0,0,0
382,4218816,16512,0,0,0
383,4235328,16512,0,0,0
384,4251840,16512,0,0,0
385,4268352,16512,0,0,0
386,4284864,16512,0,0,0
387,4301376,16512,0,0,0
388,4317888,16512,0,0,0
389,4334400,16512,0,0,0
390,4350912,16512,0,0,0
391,4367424,16512,0,0,0
392,4383936,16512,0,0,0
393,4400448,16512,0,0,0
394,4416960,16512,0,0,0
395,4433472,16512,0,0,0
396,4449984,16512,0,0,0
397,4466496,16512,0,0,0
398,4483008,16512,0,0,0
399,4499520,16512,0,0,0
400,4516032,16512,0,0,0
401,4532544,16512,0,0,0
402,4549056,16512,0,0,0
403,4565568,16512,0,0,0
404,4582080,16512,0,0,0
405,4598592,16512,0,0,0
406,4615104,16512,0,0,0
407,4631616,16512,0,0,0
408,4648128,16512,0,0,0
409,4664640,16512,0,0,0
410,4681152,16512,0,0,0
411,4697664,16512,0,0,0
412,4714176,16512,0,0,0
413,4730688,16512,0,0,0
414,4747200,16512,0,0,0
415,4763712,16512,0,0,0
416,4780224,16512,0,0,0
417,4796736,16512,0,0,0
418,4813248,16512,0,0,0
419,4829760,16512,0,0,0
420,4846272,16512,0,0,0
421,4862784,16512,0,0,0
422,4879296,16512,0,0,0
423,4895808,16512,0,0,0
424,4912320,16512,0,0,0
425,4928832,16512,0,0,0
426,4945344,16512,0,0,0
427,4961856,16512,0,0,0
428,4978368,16512,0,0,0
429,4994880,16512,0,0,0
430,5011392,16512,0,0,0
431,5027904,16512,0,0,0
432,5044416,16512,0,0,0
433,5060928,16512,0,0,0
434,5077440,16512,0,0,0
435,5093952,16512,0,0,0
436,5110464,16512,0,0,0
437,5126976,16512,0,0,0
438,5143488,16512,0,0,0
439,5160000,16512,0,0,0
440,5176512,16512,0,0,0
441,5193024,16512,0,0,0
442,5209536,16512,0,0,0
443,5226048,16512,0,0,0
444,5242560,16512,0,0,0
445,5259072,16512,0,0,0
446,5275584,16512,0,0,0
447,5292096,16512,0,0,0
448,5308608,16512,0,0,0
449,5325120,16512,0,0,0
450,5341632,16512,0,0,0
451,5358144,16512,0,0,0
452,5374656,16512,0,0,0
453,5391168,16512,0,0,0
454,5407680,16512,0,0,0
455,5424192,16512,0,0,0
456,5440704,16512,0,0,0
457,5457216,16512,0,0,0
458,5473728,16512,0,0,0
459,5490240,16512,0,0,0
460,5506752,16512,0,0,0
461,5523264,16512,0,0,0
462,5539776,16512,0,0,0
463,5556288,16512,0,0,0
464,5572800,16512,0,0,0
465,5589312,16512,0,0,0
466,5605824,16512,0,0,0
467,5622336,16512,0,0,0
468,5638848,16512,0,0,0
469,5655360,16512,0,0,0
470,5671872,16512,0,0,0
471,5688384,16512,0,0,0
472,5704896,16512,0,0,0
473,5721408,16512,0,0,0
474,5737920,16512,0,0,0
475,5754432,16512,0,0,0
476,5770944,16512,0,0,0
477,5787456,16512,0,0,0
478,5803968,16512,0,0,0
479,5820480,16512,0,0,0
480,5836992,16512,0,0,0
481,5853504,16512,0,0,0
482,5870016,16512,0,0,0
483,5886528,16512,0,0,0
484,5903040,16512,0,0,0
485,5919552,16512,0,0,0
486,5936064,16512,0,0,0
487,5952576,16512,0,0,0
